IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.24.27.235,4,4,0.00,197.93,24.43
172.67.37.5,4,4,0.00,196.40,24.37
104.25.158.245,4,4,0.00,198.96,24.12
198.41.212.247,4,4,0.00,193.89,24.12
172.66.136.69,4,4,0.00,196.27,23.86
172.67.112.215,4,4,0.00,193.96,23.61
104.24.36.183,4,4,0.00,196.15,23.60
172.64.33.231,4,4,0.00,196.23,23.59
172.67.5.163,4,4,0.00,198.91,23.41
172.64.40.90,4,4,0.00,195.44,23.28
104.19.90.65,4,4,0.00,197.54,23.09
104.22.45.52,4,4,0.00,196.09,23.02
198.41.216.236,4,4,0.00,198.73,22.98
172.67.15.192,4,4,0.00,196.44,22.91
104.25.82.100,4,4,0.00,197.98,22.77
172.66.198.66,4,4,0.00,198.29,22.74
104.23.126.109,4,4,0.00,198.14,22.72
172.66.163.105,4,4,0.00,198.66,22.11
172.66.43.112,4,4,0.00,196.71,22.01
104.27.30.170,4,4,0.00,197.96,19.81
