IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.130.162,4,4,0.00,139.87,34.98
162.159.133.59,4,4,0.00,139.59,33.54
162.159.129.62,4,4,0.00,136.55,32.15
162.159.134.194,4,4,0.00,139.58,31.32
162.159.152.191,4,4,0.00,140.59,29.96
162.159.128.55,4,4,0.00,141.47,29.87
162.159.140.38,4,4,0.00,142.54,29.69
172.67.77.245,4,4,0.00,139.28,29.57
172.67.71.184,4,4,0.00,141.35,29.47
162.159.138.206,4,4,0.00,143.09,29.11
162.159.137.208,4,4,0.00,143.12,28.92
172.67.76.151,4,4,0.00,143.77,28.79
172.67.67.30,4,4,0.00,144.25,28.79
162.159.153.224,4,4,0.00,142.66,28.01
172.67.66.222,4,4,0.00,143.99,27.96
162.159.141.164,4,4,0.00,144.13,26.38
162.159.136.230,4,4,0.00,142.26,26.09
172.67.78.245,4,4,0.00,143.02,24.47
162.159.135.211,4,4,0.00,142.40,24.32
162.159.143.152,4,4,0.00,144.54,23.67
